Üniversite,Bölüm/Fakülte,Ücret,Akademik yıl
İstanbul Aydın Üniversitesi ücretleri,Tıp fakültesi: 115.000 TL,115.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Diş hekimliği fakültesi: 115.000 TL,115.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Hukuk fakültesi: 86.000 TL,86.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Gastronomi ve mutfak sanatları: 55.000 TL,55.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Psikoloji : 64.000 TL,64.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Pilotaj: 91.000 TL,91.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Havacılık ve uzay mühendisliği: 62.000 TL,62.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,"Hemşirelik, Beslenme ve Diyetetik: 38.000 TL",38.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Eğitim Fakültesi: 64.000 TL,64.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,İletişim Fakültesi: 60.000 TL,60.000 TL,2023
İstanbul Aydın Üniversitesi ücretleri,Edebiyat Fakültesi: 60.000 TL,60.000 TL,2023
Koç Üniversitesi ücretleri,Tıp fakültesi: 382.300 TL,382.300 TL,2023
Koç Üniversitesi ücretleri,Diğer fakülte ücretleri: 278.000 TL,278.000 TL,2023
Bahçeşehir Üniversitesi ücretleri,Tıp fakültesi: 205.000 TL,205.000 TL,2023
Bahçeşehir Üniversitesi ücretleri,Diş hekimliği fakültesi: 187.500 TL,187.500 TL,2023
Bahçeşehir Üniversitesi ücretleri,Eczacılık fakültesi: 139.000 TL,139.000 TL,2023
Bahçeşehir Üniversitesi ücretleri,Sağlık bilimleri fakültesi: 125.000 TL,125.000 TL,2023
Bahçeşehir Üniversitesi ücretleri,Mimarlık fakültesi: 130.000 TL,130.000 TL,2023
Bahçeşehir Üniversitesi ücretleri,Eğitim fakültesi: 117.750 TL,117.750 TL,2023
Bahçeşehir Üniversitesi ücretleri,İletişim fakültesi: 123.840 TL,123.840 TL,2023
Bahçeşehir Üniversitesi ücretleri,Konservatuvar: 128.000 TL,128.000 TL,2023
Üsküdar Üniversitesi ücretleri,Tıp fakültesi: 147.630 TL,147.630 TL,2023
Üsküdar Üniversitesi ücretleri,Diş fakültesi: 126.710 TL,126.710 TL,2023
Üsküdar Üniversitesi ücretleri,Sağlık bilimleri fakültesi: 57.330 TL,57.330 TL,2023
Üsküdar Üniversitesi ücretleri,Psikoloji : 76.240 TL,76.240 TL,2023
MEF Üniversitesi ücretleri,Hukuk fakültesi: 126.820 TL,126.820 TL,2023
MEF Üniversitesi ücretleri,Eğitim fakültesi: 106.820 TL,106.820 TL,2023
MEF Üniversitesi ücretleri,İktisati idari ve sosyal bilimler fakültesi: 106.820 TL,106.820 TL,2023
MEF Üniversitesi ücretleri,Mühendislik fakültesi: 106.820 TL,106.820 TL,2023
Yeditepe Üniversitesi ücretleri,Tıp fakültesi: 150.000 TL,150.000 TL,2023
Yeditepe Üniversitesi ücretleri,Diş hekimliği fakültesi: 120.000TL,,2023
Yeditepe Üniversitesi ücretleri,Mühendislik fakültesi:102.000 TL,102.000 TL,2023
Yeditepe Üniversitesi ücretleri,Hukuk fakültesi: 110.000 TL,110.000 TL,2023
Yeditepe Üniversitesi ücretleri,Eczacılık fakültesi: 139.000 TL,139.000 TL,2023
Yeditepe Üniversitesi ücretleri,Sağlık bilimleri fakültesi: 77.500 TL,77.500 TL,2023
Yeditepe Üniversitesi ücretleri,Mimarlık fakültesi: 102.000 TL,102.000 TL,2023
Yeditepe Üniversitesi ücretleri,Eğitim fakültesi: 77.500 TL,77.500 TL,2023
Yeditepe Üniversitesi ücretleri,Fen Edebiyat Fakültesi: 90.000 TL,90.000 TL,2023
Yeditepe Üniversitesi ücretleri,İletişim fakültesi: 90.000 TL,90.000 TL,2023
Yeditepe Üniversitesi ücretleri,Güzel sanatlar fakültesi 80.000 TL,80.000 TL,2023
Bilgi Üniversitesi ücretleri,Hukuk fakültesi: 139.000 TL,139.000 TL,2023
Bilgi Üniversitesi ücretleri,Mimarlık fakültesi: 125.000 TL,125.000 TL,2023
Bilgi Üniversitesi ücretleri,Mühendislik fakültesi: 119.000 TL,119.000 TL,2023
Bilgi Üniversitesi ücretleri,Psikoloji : 125.000 TL,125.000 TL,2023
Bilgi Üniversitesi ücretleri,Gastronomi ve Mutfak sanatları: 89.500 TL,89.500 TL,2023
Bilgi Üniversitesi ücretleri,İşletme fakültesi: 110.000 TL,110.000 TL,2023
Bilgi Üniversitesi ücretleri,Sağlık bilimleri fakültesi: 110.000 TL,110.000 TL,2023
Bilgi Üniversitesi ücretleri,Sivil havacılık: 85.000 TL,85.000 TL,2023
Kadir Has Üniversitesi ücretleri,Hukuk fakültesi: 139.120 TL,139.120 TL,2023
Kadir Has Üniversitesi ücretleri,Mühendislik fakültesi: 139.120 TL,139.120 TL,2023
Kadir Has Üniversitesi ücretleri,İktisadi İdari ve Sosyal Bilimler Fakültesi: 139.120 TL,139.120 TL,2023
Kadir Has Üniversitesi ücretleri,İletişim Fakültesi: 139.120 TL,139.120 TL,2023
Kadir Has Üniversitesi ücretleri,"Sanat ve Tasarım Fakültesi (Endüstriyel Tasarım, İç Mimarlık ve Çevre Tasarımı, Mimarlık : 139.120 TL",139.120 TL,2023
Kadir Has Üniversitesi ücretleri,Sanat ve Tasarım Fakültesi ( Tiyatro ) 131.600 TL,131.600 TL,2023
Beykent Üniversitesi ücretleri,Tıp fakültesi: 195.000 TL,195.000 TL,2023
Beykent Üniversitesi ücretleri,Hemşirelik fakültesi: 140.000 TL,140.000 TL,2023
Beykent Üniversitesi ücretleri,Hukuk fakültesi: 111.776 TL,111.776 TL,2023
Beykent Üniversitesi ücretleri,İletişim fakültesi: 100.000 TL,100.000 TL,2023
Beykent Üniversitesi ücretleri,Psikoloji : 180.000 TL,180.000 TL,2023
Beykent Üniversitesi ücretleri,"Yazılım, Bilgisayar Mühendisliği: 146.000 TL",146.000 TL,2023
Beykent Üniversitesi ücretleri,Eğitim fakültesi: 100.000 TL,100.000 TL,2023
Medipol Üniversitesi Ücretleri,Tıp fakültesi: 157.680 TL,157.680 TL,2023
Medipol Üniversitesi Ücretleri,Diş hekimliği fakültesi: 157.680 TL,157.680 TL,2023
Medipol Üniversitesi Ücretleri,Eczacılık fakültesi: 142.560 TL,142.560 TL,2023
Medipol Üniversitesi Ücretleri,Hemşirelik fakültesi: 62.640 TL,62.640 TL,2023
Medipol Üniversitesi Ücretleri,Eğitim fakültesi: 70.200 TL,70.200 TL,2023
Medipol Üniversitesi Ücretleri,Hukuk fakültesi: 97.200 TL,97.200 TL,2023
Medipol Üniversitesi Ücretleri,Mühendislik fakültesi: 76.680 TL,76.680 TL,2023
Medipol Üniversitesi Ücretleri,İletişim Fakültesi: 59.400 TL,59.400 TL,2023
Medipol Üniversitesi Ücretleri,Mimarlık: 86.400 TL,86.400 TL,2023
Medipol Üniversitesi Ücretleri,İşletme: 54.000 TL,54.000 TL,2023
Medipol Üniversitesi Ücretleri,Psikoloji : 62.640 TL,62.640 TL,2023
Medipol Üniversitesi Ücretleri,Siyaset bilimi ve kamu yönetimi: 54.000 TL,54.000 TL,2023
Medipol Üniversitesi Ücretleri,Yönetim bilişimleri sistemleri: 54.000 TL,54.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Çocuk Gelişimi : 28.000 TL,28.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Adalet : 34.000 TL,34.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Bilgisayar Programcılığı: 28.000 TL,28.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,İş Sağlığı ve Güvenliği: 28.000 TL,28.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Ağız ve Diş Sağlığı (%25 İndirimli) : 31.000 TL,31.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Ameliyathane Hizmetleri : 32.000 TL,32.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,İlk ve Acil Yardım : 32.000 TL,32.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,"Anestezi, Fizyoterapi : 32.000 TL",32.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Geri kalan bölümlerin fiyatları genel olarak 24.000 TL'dir.,24.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,İlk ve Acil Yardım : 72.889 TL,72.889 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Anestezi : 72.889 TL,72.889 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Aşçılık: 98.000 TL,98.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,"Fizyoterapi, Adalet, Bilgisayar Programcılığı, Tıbbi Görüntüleme Teknikleri, Sivil Havacılık Kabin Hizmetleri, Grafik Tasarımı, Ameliyathane Hizmetleri, Dış Ticaret, Tıbbi Laboratuvar Teknikleri, Ağız ve Diş Sağlığı: 82.000 TL",82.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Geri kalan bölümlerin fiyatları genel olarak 70.000 TL'dir.,70.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Sağlık Hizmetleri Yüksekokulu: 72.000 TL,72.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,"Uygulamalı Bilimler Yüksekokulu: 119,850 TL",850 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Uygulamalı bilimler yüksekokulu: 60.000 TL,60.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Meslek yüksekokulu: 52.500 TL,52.500 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Spor bilimleri ve teknoloji yüksekokulu: 85.000 TL,85.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Sivil havacılık yüksekokulu: 85.000 TL,85.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Uygulamalı bilimler yüksekokulu: 85.000 TL,85.000 TL,2023
2 Yıllık Özel Üniversite Ücretleri,Adalet meslek yüksekokulu: 41.000 TL,41.000 TL,2023
